R, км||V, км/с||Tet, рад||I, рад||Omega, рад||U, рад||T, с
 8435.439, км||    4.031, км/с||   -0.118, рад||    0.017, рад||    0.523, рад||    0.060, рад||  128.000, с
 8434.964, км||    4.032, км/с||   -0.118, рад||    0.017, рад||    0.523, рад||    0.061, рад||  129.000, с
 8434.486, км||    4.033, км/с||   -0.119, рад||    0.017, рад||    0.523, рад||    0.061, рад||  130.000, с
 8434.004, км||    4.033, км/с||   -0.120, рад||    0.017, рад||    0.523, рад||    0.062, рад||  131.000, с
 8433.518, км||    4.034, км/с||   -0.121, рад||    0.017, рад||    0.523, рад||    0.062, рад||  132.000, с
 8433.029, км||    4.035, км/с||   -0.122, рад||    0.017, рад||    0.523, рад||    0.063, рад||  133.000, с
 8432.536, км||    4.035, км/с||   -0.123, рад||    0.017, рад||    0.523, рад||    0.063, рад||  134.000, с
 8432.039, км||    4.036, км/с||   -0.124, рад||    0.017, рад||    0.523, рад||    0.064, рад||  135.000, с
 8431.538, км||    4.037, км/с||   -0.125, рад||    0.017, рад||    0.523, рад||    0.064, рад||  136.000, с
 8431.034, км||    4.037, км/с||   -0.126, рад||    0.017, рад||    0.523, рад||    0.065, рад||  137.000, с
 8430.526, км||    4.038, км/с||   -0.127, рад||    0.017, рад||    0.523, рад||    0.065, рад||  138.000, с
 8430.014, км||    4.039, км/с||   -0.128, рад||    0.017, рад||    0.523, рад||    0.066, рад||  139.000, с
 8429.499, км||    4.039, км/с||   -0.128, рад||    0.017, рад||    0.523, рад||    0.066, рад||  140.000, с
 8428.980, км||    4.040, км/с||   -0.129, рад||    0.017, рад||    0.523, рад||    0.067, рад||  141.000, с
 8428.457, км||    4.041, км/с||   -0.130, рад||    0.017, рад||    0.523, рад||    0.067, рад||  142.000, с
 8427.930, км||    4.042, км/с||   -0.131, рад||    0.017, рад||    0.523, рад||    0.068, рад||  143.000, с
 8427.400, км||    4.042, км/с||   -0.132, рад||    0.017, рад||    0.523, рад||    0.068, рад||  144.000, с
 8426.866, км||    4.043, км/с||   -0.133, рад||    0.017, рад||    0.523, рад||    0.069, рад||  145.000, с
 8426.328, км||    4.044, км/с||   -0.134, рад||    0.017, рад||    0.523, рад||    0.069, рад||  146.000, с
 8425.787, км||    4.045, км/с||   -0.135, рад||    0.017, рад||    0.523, рад||    0.069, рад||  147.000, с
 8425.242, км||    4.045, км/с||   -0.136, рад||    0.017, рад||    0.523, рад||    0.070, рад||  148.000, с
 8424.693, км||    4.046, км/с||   -0.137, рад||    0.017, рад||    0.523, рад||    0.070, рад||  149.000, с
 8424.140, км||    4.047, км/с||   -0.137, рад||    0.017, рад||    0.523, рад||    0.071, рад||  150.000, с
 8423.584, км||    4.048, км/с||   -0.138, рад||    0.017, рад||    0.523, рад||    0.071, рад||  151.000, с
 8423.024, км||    4.048, км/с||   -0.139, рад||    0.017, рад||    0.523, рад||    0.072, рад||  152.000, с
 8422.460, км||    4.049, км/с||   -0.140, рад||    0.017, рад||    0.523, рад||    0.072, рад||  153.000, с
 8421.893, км||    4.050, км/с||   -0.141, рад||    0.017, рад||    0.523, рад||    0.073, рад||  154.000, с
 8421.322, км||    4.051, км/с||   -0.142, рад||    0.017, рад||    0.523, рад||    0.073, рад||  155.000, с
 8420.747, км||    4.052, км/с||   -0.143, рад||    0.017, рад||    0.523, рад||    0.074, рад||  156.000, с
 8420.169, км||    4.052, км/с||   -0.144, рад||    0.017, рад||    0.523, рад||    0.074, рад||  157.000, с
 8419.586, км||    4.053, км/с||   -0.145, рад||    0.017, рад||    0.523, рад||    0.075, рад||  158.000, с
 8419.000, км||    4.054, км/с||   -0.146, рад||    0.017, рад||    0.523, рад||    0.075, рад||  159.000, с
 8418.411, км||    4.055, км/с||   -0.146, рад||    0.017, рад||    0.523, рад||    0.076, рад||  160.000, с
 8417.817, км||    4.056, км/с||   -0.147, рад||    0.017, рад||    0.523, рад||    0.076, рад||  161.000, с
 8417.220, км||    4.056, км/с||   -0.148, рад||    0.017, рад||    0.523, рад||    0.077, рад||  162.000, с
 8416.619, км||    4.057, км/с||   -0.149, рад||    0.017, рад||    0.523, рад||    0.077, рад||  163.000, с
 8416.015, км||    4.058, км/с||   -0.150, рад||    0.017, рад||    0.523, рад||    0.078, рад||  164.000, с
 8415.406, км||    4.059, км/с||   -0.151, рад||    0.017, рад||    0.523, рад||    0.078, рад||  165.000, с
 8414.794, км||    4.060, км/с||   -0.152, рад||    0.017, рад||    0.523, рад||    0.079, рад||  166.000, с
 8414.179, км||    4.061, км/с||   -0.153, рад||    0.017, рад||    0.523, рад||    0.079, рад||  167.000, с
 8413.559, км||    4.062, км/с||   -0.154, рад||    0.017, рад||    0.523, рад||    0.079, рад||  168.000, с
 8412.936, км||    4.062, км/с||   -0.154, рад||    0.017, рад||    0.523, рад||    0.080, рад||  169.000, с
 8412.309, км||    4.063, км/с||   -0.155, рад||    0.017, рад||    0.523, рад||    0.080, рад||  170.000, с
 8411.678, км||    4.064, км/с||   -0.156, рад||    0.017, рад||    0.523, рад||    0.081, рад||  171.000, с
 8411.044, км||    4.065, км/с||   -0.157, рад||    0.017, рад||    0.523, рад||    0.081, рад||  172.000, с
 8410.406, км||    4.066, км/с||   -0.158, рад||    0.017, рад||    0.523, рад||    0.082, рад||  173.000, с
 8409.764, км||    4.067, км/с||   -0.159, рад||    0.017, рад||    0.523, рад||    0.082, рад||  174.000, с
 8409.119, км||    4.068, км/с||   -0.160, рад||    0.017, рад||    0.523, рад||    0.083, рад||  175.000, с
 8408.469, км||    4.069, км/с||   -0.161, рад||    0.017, рад||    0.523, рад||    0.083, рад||  176.000, с
 8407.816, км||    4.069, км/с||   -0.162, рад||    0.017, рад||    0.523, рад||    0.084, рад||  177.000, с
 8407.160, км||    4.070, км/с||   -0.163, рад||    0.017, рад||    0.523, рад||    0.084, рад||  178.000, с
 8406.499, км||    4.071, км/с||   -0.163, рад||    0.017, рад||    0.523, рад||    0.085, рад||  179.000, с
 8405.835, км||    4.072, км/с||   -0.164, рад||    0.017, рад||    0.523, рад||    0.085, рад||  180.000, с
 8405.167, км||    4.073, км/с||   -0.165, рад||    0.017, рад||    0.523, рад||    0.086, рад||  181.000, с
 8404.496, км||    4.074, км/с||   -0.166, рад||    0.017, рад||    0.523, рад||    0.086, рад||  182.000, с
 8403.820, км||    4.075, км/с||   -0.167, рад||    0.017, рад||    0.523, рад||    0.087, рад||  183.000, с
