R, км||V, км/с||Tet, рад||I, рад||Omega, рад||U, рад||T, с
 8935.659, км||    7.634, км/с||    0.020, рад||    1.396, рад||    0.523, рад||    0.716, рад||   94.000, с
 8935.809, км||    7.633, км/с||    0.020, рад||    1.396, рад||    0.523, рад||    0.717, рад||   95.000, с
 8935.961, км||    7.633, км/с||    0.020, рад||    1.396, рад||    0.523, рад||    0.717, рад||   96.000, с
 8936.114, км||    7.633, км/с||    0.020, рад||    1.396, рад||    0.523, рад||    0.718, рад||   97.000, с
 8936.269, км||    7.633, км/с||    0.020, рад||    1.396, рад||    0.523, рад||    0.719, рад||   98.000, с
 8936.425, км||    7.633, км/с||    0.021, рад||    1.396, рад||    0.523, рад||    0.720, рад||   99.000, с
 8936.583, км||    7.633, км/с||    0.021, рад||    1.396, рад||    0.523, рад||    0.721, рад||  100.000, с
 8936.742, км||    7.633, км/с||    0.021, рад||    1.396, рад||    0.523, рад||    0.722, рад||  101.000, с
 8936.903, км||    7.633, км/с||    0.021, рад||    1.396, рад||    0.523, рад||    0.723, рад||  102.000, с
 8937.066, км||    7.633, км/с||    0.021, рад||    1.396, рад||    0.523, рад||    0.723, рад||  103.000, с
 8937.230, км||    7.632, км/с||    0.022, рад||    1.396, рад||    0.523, рад||    0.724, рад||  104.000, с
 8937.395, км||    7.632, км/с||    0.022, рад||    1.396, рад||    0.523, рад||    0.725, рад||  105.000, с
 8937.562, км||    7.632, км/с||    0.022, рад||    1.396, рад||    0.523, рад||    0.726, рад||  106.000, с
 8937.730, км||    7.632, км/с||    0.022, рад||    1.396, рад||    0.523, рад||    0.727, рад||  107.000, с
 8937.900, км||    7.632, км/с||    0.022, рад||    1.396, рад||    0.523, рад||    0.728, рад||  108.000, с
 8938.072, км||    7.632, км/с||    0.023, рад||    1.396, рад||    0.523, рад||    0.729, рад||  109.000, с
 8938.245, км||    7.632, км/с||    0.023, рад||    1.396, рад||    0.523, рад||    0.729, рад||  110.000, с
 8938.420, км||    7.632, км/с||    0.023, рад||    1.396, рад||    0.523, рад||    0.730, рад||  111.000, с
 8938.596, км||    7.632, км/с||    0.023, рад||    1.396, рад||    0.523, рад||    0.731, рад||  112.000, с
 8938.773, км||    7.631, км/с||    0.023, рад||    1.396, рад||    0.523, рад||    0.732, рад||  113.000, с
 8938.953, км||    7.631, км/с||    0.024, рад||    1.396, рад||    0.523, рад||    0.733, рад||  114.000, с
 8939.133, км||    7.631, км/с||    0.024, рад||    1.396, рад||    0.523, рад||    0.734, рад||  115.000, с
 8939.316, км||    7.631, км/с||    0.024, рад||    1.396, рад||    0.523, рад||    0.735, рад||  116.000, с
 8939.499, км||    7.631, км/с||    0.024, рад||    1.396, рад||    0.523, рад||    0.735, рад||  117.000, с
 8939.685, км||    7.631, км/с||    0.024, рад||    1.396, рад||    0.523, рад||    0.736, рад||  118.000, с
 8939.871, км||    7.631, км/с||    0.025, рад||    1.396, рад||    0.523, рад||    0.737, рад||  119.000, с
 8940.060, км||    7.631, км/с||    0.025, рад||    1.396, рад||    0.523, рад||    0.738, рад||  120.000, с
 8940.249, км||    7.630, км/с||    0.025, рад||    1.396, рад||    0.523, рад||    0.739, рад||  121.000, с
